Prep ID,Run Batch,Sample ID,Matrix (Gas),Sample Type,Date,Time,Date and Time,ignore,ignore,ignore,analyte,ignore,ignore,ignore,ignore,units,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,concentration_blank_result
GV231026G3,231026A6,231026A6.BLKG26A,G,LB,10/26/2023,21:21,10/26/2023 21:21,N,NA,initial,Freon 113,TRG,,1,0,ppbv,0,,,,,,,,,,,,0
GV231026G3,231026A6,231026A6.BLKG26A,G,LB,10/26/2023,21:21,10/26/2023 21:21,N,NA,initial,Propylene,TRG,,10,0,ppbv,0,,,,,,,,,,,,0
GV231026G3,231026A6,231026A6.BLKG26A,G,LB,10/26/2023,21:21,10/26/2023 21:21,N,NA,initial,Freon 114,TRG,,1,0,ppbv,0,,,,,,,,,,,,0
GV231026G3,231026A6,231026A6.BLKG26A,G,LB,10/26/2023,21:21,10/26/2023 21:21,N,NA,initial,"1,3-Butadiene",TRG,,1,0,ppbv,0,,,,,,,,,,,,0
GV231026G3,231026A6,231026A6.BLKG26A,G,LB,10/26/2023,21:21,10/26/2023 21:21,N,NA,initial,Acetone,TRG,,10,0,ppbv,0,,,,,,,,,,,,0
GV231026G3,231026A6,231026A6.BLKG26A,G,LB,10/26/2023,21:21,10/26/2023 21:21,N,NA,initial,Isopropyl Alcohol,TRG,,1,0,ppbv,0,,,,,,,,,,,,0
GV231026G3,231026A6,231026A6.BLKG26A,G,LB,10/26/2023,21:21,10/26/2023 21:21,N,NA,initial,Carbon disulfide,TRG,,1,0,ppbv,0,,,,,,,,,,,,0
GV231026G3,231026A6,231026A6.BLKG26A,G,LB,10/26/2023,21:21,10/26/2023 21:21,N,NA,initial,Acrylonitrile,TRG,,1,0,ppbv,0,,,,,,,,,,,,0
GV231026G3,231026A6,231026A6.BLKG26A,G,LB,10/26/2023,21:21,10/26/2023 21:21,N,NA,initial,tert-Methyl butyl ether (MTBE),TRG,,1,0,ppbv,0,,,,,,,,,,,,0
GV231026G3,231026A6,231026A6.BLKG26A,G,LB,10/26/2023,21:21,10/26/2023 21:21,N,NA,initial,2-Butanone (MEK),TRG,,1,0,ppbv,0,,,,,,,,,,,,0
GV231026G3,231026A6,231026A6.BLKG26A,G,LB,10/26/2023,21:21,10/26/2023 21:21,N,NA,initial,Dichlorodifluoromethane,TRG,,1,0,ppbv,0,,,,,,,,,,,,0
GV231026G3,231026A6,231026A6.BLKG26A,G,LB,10/26/2023,21:21,10/26/2023 21:21,N,NA,initial,Chloromethane,TRG,,1,0,ppbv,0,,,,,,,,,,,,0
